delta_date_hour,tempo_lav,ore_lav_rim,[0.0-0.5),[0.5-1.5),[1.5-2.5),[2.5-3.5),[3.5-4.5),[4.5-5.5),[5.5-6.5),[6.5-7.5),[7.5-8.5),[8.5-9.5),[9.5-10.5),[10.5-11.5),[11.5-12.5),[12.5-13.5),[13.5-14.5),[14.5-15.5),[15.5-16.5),[16.5-17.5),[17.5-18.5),[18.5-19.5),[19.5-20.5),[20.5-21.5),[21.5-22.5),[22.5-23.5),[23.5-24.5),[24.5-25.5),[25.5-26.5),[26.5-27.5),[27.5-28.5),[28.5-29.5),[29.5-30.5),[30.5-31.5),[31.5-32.5),[32.5-33.5),[33.5-34.5),[34.5-35.5),[35.5-36.5),[36.5-37.5),[37.5-38.5),[38.5-39.5),[39.5-40.5)
1180,24.0,501.55,12065,58911,14499,701,109,1,20,10,1,1,0,0,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491,48.0,477.55,22463,119669,23718,2226,463,2196,723,528,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,72.0,453.55,50705,172841,27815,2866,703,2206,723,528,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2185,96.0,429.55,71916,217262,43955,6875,1154,2364,733,528,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2650,120.0,405.55,85930,277111,52234,7889,2229,3931,1333,528,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3362,144.0,381.55,102561,327675,63118,10173,4196,7445,1873,538,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843,168.0,357.55,119403,362726,89927,14466,7007,7943,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4225,192.0,333.55,139182,406411,109000,18323,7007,7943,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4344,216.0,309.55,157834,448876,123847,23881,11883,7943,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4570,240.0,285.55,164477,497929,146550,27415,16350,7943,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4852,264.0,261.55,194902,536161,156635,31727,19674,7973,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5027,288.0,237.55,203706,605486,164705,31927,19674,7973,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5260,312.0,213.55,215011,670478,173139,33017,20254,7973,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5574,336.0,189.55,228393,727236,183295,37716,21650,7973,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5888,360.0,165.55,238749,787219,194516,41168,23027,7993,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6064,384.0,141.55,246902,835275,213203,52604,23087,7993,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6316,408.0,117.55,256336,861977,248731,67154,23252,8013,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6825,432.0,93.55,268435,908383,264389,76170,26155,8337,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7158,456.0,69.55,277390,953938,278776,86898,32800,8463,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7354,480.0,45.55,292317,1012601,283280,91785,36224,8463,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7538,504.0,21.55,311528,1066778,290423,94266,39080,8991,1958,558,107,61,156,408,10,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7755,525.55,0.0,323077,1098963,317188,99357,40745,9284,1988,558,107,62,159,408,11,0,5,0,14,0,11,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
